Generation 0 | Revalues: 100 | GridSize: 3
Generation 1 | Revalues: 304 | GridSize: 6
Generation 2 | Revalues: 524 | GridSize: 5
Generation 3 | Revalues: 730 | GridSize: 7
Generation 4 | Revalues: 934 | GridSize: 7
Generation 5 | Revalues: 1144 | GridSize: 8
Generation 6 | Revalues: 1358 | GridSize: 8
Generation 7 | Revalues: 1568 | GridSize: 7
Generation 8 | Revalues: 1760 | GridSize: 8
Generation 9 | Revalues: 1970 | GridSize: 6
Generation 10 | Revalues: 2180 | GridSize: 6
Generation 11 | Revalues: 2370 | GridSize: 6
Generation 12 | Revalues: 2546 | GridSize: 6
Generation 13 | Revalues: 2740 | GridSize: 4
Generation 14 | Revalues: 2924 | GridSize: 4
Generation 15 | Revalues: 3104 | GridSize: 4
Generation 16 | Revalues: 3314 | GridSize: 4
Generation 17 | Revalues: 3486 | GridSize: 4
Generation 18 | Revalues: 3690 | GridSize: 4
Generation 19 | Revalues: 3902 | GridSize: 4
Generation 20 | Revalues: 4090 | GridSize: 5
Generation 21 | Revalues: 4298 | GridSize: 5
Generation 22 | Revalues: 4508 | GridSize: 5
Generation 23 | Revalues: 4688 | GridSize: 5
Generation 24 | Revalues: 4892 | GridSize: 5
Generation 25 | Revalues: 5092 | GridSize: 5
Generation 26 | Revalues: 5306 | GridSize: 5
Generation 27 | Revalues: 5516 | GridSize: 5
Generation 28 | Revalues: 5710 | GridSize: 5
Generation 29 | Revalues: 5916 | GridSize: 5
Generation 30 | Revalues: 6120 | GridSize: 5
Generation 31 | Revalues: 6330 | GridSize: 5
Generation 32 | Revalues: 6528 | GridSize: 5
Generation 33 | Revalues: 6734 | GridSize: 5
Generation 34 | Revalues: 6974 | GridSize: 3
Generation 35 | Revalues: 7190 | GridSize: 3
Generation 36 | Revalues: 7390 | GridSize: 3
Generation 37 | Revalues: 7590 | GridSize: 3
Generation 38 | Revalues: 7780 | GridSize: 3
Generation 39 | Revalues: 7988 | GridSize: 3
Generation 40 | Revalues: 8216 | GridSize: 3
Generation 41 | Revalues: 8400 | GridSize: 3
Generation 42 | Revalues: 8608 | GridSize: 3
Generation 43 | Revalues: 8804 | GridSize: 3
Generation 44 | Revalues: 9026 | GridSize: 3
Generation 45 | Revalues: 9240 | GridSize: 3
Generation 46 | Revalues: 9460 | GridSize: 3
Generation 47 | Revalues: 9650 | GridSize: 3
Generation 48 | Revalues: 9866 | GridSize: 3
Generation 49 | Revalues: 10098 | GridSize: 3
Generation 50 | Revalues: 10306 | GridSize: 3
Generation 51 | Revalues: 10514 | GridSize: 3
Generation 52 | Revalues: 10714 | GridSize: 3
Generation 53 | Revalues: 10916 | GridSize: 3
Generation 54 | Revalues: 11126 | GridSize: 3
Generation 55 | Revalues: 11290 | GridSize: 3
Generation 56 | Revalues: 11496 | GridSize: 3
Generation 57 | Revalues: 11662 | GridSize: 3
Generation 58 | Revalues: 11864 | GridSize: 3
Generation 59 | Revalues: 12080 | GridSize: 3
Generation 60 | Revalues: 12268 | GridSize: 3
Generation 61 | Revalues: 12464 | GridSize: 3
Generation 62 | Revalues: 12678 | GridSize: 3
Generation 63 | Revalues: 12860 | GridSize: 3
Generation 64 | Revalues: 13050 | GridSize: 3
Generation 65 | Revalues: 13244 | GridSize: 3
Generation 66 | Revalues: 13464 | GridSize: 3
Generation 67 | Revalues: 13670 | GridSize: 3
Generation 68 | Revalues: 13880 | GridSize: 3
Generation 69 | Revalues: 14074 | GridSize: 3
Generation 70 | Revalues: 14258 | GridSize: 3
Generation 71 | Revalues: 14460 | GridSize: 3
Generation 72 | Revalues: 14678 | GridSize: 3
Generation 73 | Revalues: 14866 | GridSize: 3
Generation 74 | Revalues: 15054 | GridSize: 3
Generation 75 | Revalues: 15258 | GridSize: 3
Generation 76 | Revalues: 15462 | GridSize: 3
Generation 77 | Revalues: 15650 | GridSize: 3
Generation 78 | Revalues: 15848 | GridSize: 3
Generation 79 | Revalues: 16044 | GridSize: 3
Generation 80 | Revalues: 16246 | GridSize: 3
Generation 81 | Revalues: 16434 | GridSize: 3
Generation 82 | Revalues: 16652 | GridSize: 3
Generation 83 | Revalues: 16870 | GridSize: 3
Generation 84 | Revalues: 17058 | GridSize: 3
Generation 85 | Revalues: 17276 | GridSize: 3
Generation 86 | Revalues: 17468 | GridSize: 3
Generation 87 | Revalues: 17664 | GridSize: 3
Generation 88 | Revalues: 17882 | GridSize: 3
Generation 89 | Revalues: 18090 | GridSize: 3
Generation 90 | Revalues: 18286 | GridSize: 3
Generation 91 | Revalues: 18500 | GridSize: 3
Generation 92 | Revalues: 18684 | GridSize: 3
Generation 93 | Revalues: 18882 | GridSize: 3
Generation 94 | Revalues: 19102 | GridSize: 3
Generation 95 | Revalues: 19278 | GridSize: 3
Generation 96 | Revalues: 19478 | GridSize: 3
Generation 97 | Revalues: 19678 | GridSize: 3
Generation 98 | Revalues: 19876 | GridSize: 3
Generation 99 | Revalues: 20080 | GridSize: 3
Generation 100 | Revalues: 20308 | GridSize: 3
Generation 101 | Revalues: 20508 | GridSize: 3
Generation 102 | Revalues: 20722 | GridSize: 3
Generation 103 | Revalues: 20904 | GridSize: 3
Generation 104 | Revalues: 21114 | GridSize: 3
