Instance,Run,BRKGA_Dominates,MOEAD_Dominates,BRKGA_Incomparable,MOEAD_Incomparable,TotalBRKGA,TotalMOEAD
503,12,0,25,17,55,17,55
503,8,0,54,14,115,14,116
503,7,0,11,11,56,11,56
503,14,0,65,14,129,14,129
503,19,0,20,13,69,13,69
503,1,0,75,13,154,13,154
503,13,0,37,13,119,13,119
503,15,0,31,13,123,13,125
503,9,0,34,16,75,16,75
503,17,5,20,14,64,14,64
503,4,0,37,18,93,18,93
503,3,0,13,14,46,14,46
503,5,0,27,13,128,13,128
503,2,0,32,10,86,10,86
503,20,0,32,9,132,9,132
503,16,0,15,16,125,16,126
503,18,0,36,11,125,11,125
503,11,0,25,11,113,11,113
503,10,0,31,13,130,13,130
503,6,0,39,11,106,11,107
502,12,0,54,6,100,6,101
502,8,0,5,7,21,7,22
502,7,0,24,11,85,11,85
502,14,0,8,7,34,7,34
502,19,0,7,8,19,8,19
502,1,0,67,18,114,18,114
502,13,0,42,18,109,18,109
502,15,7,14,15,42,15,42
502,9,0,10,8,72,8,72
502,17,0,8,9,22,9,23
502,4,0,52,18,101,18,102
502,3,0,15,15,40,15,40
502,5,0,6,4,35,4,35
502,2,0,3,10,28,10,28
502,20,0,60,18,124,18,125
502,16,0,39,16,84,16,84
502,18,0,13,11,102,11,102
502,11,3,8,7,44,7,44
502,10,0,11,9,18,9,19
502,6,1,35,20,45,20,45
501,12,2,11,13,22,13,22
501,8,0,35,22,57,22,57
501,7,2,12,14,21,14,21
501,14,1,9,6,19,6,19
501,19,0,6,7,13,7,13
501,1,0,7,6,11,6,12
501,13,0,4,4,16,4,16
501,15,0,5,3,21,3,21
501,9,0,9,6,19,6,20
501,17,3,0,4,19,4,19
501,4,0,10,4,19,4,20
501,3,0,13,12,21,12,21
501,5,0,2,5,13,5,14
501,2,1,9,9,14,9,14
501,20,0,13,12,20,12,20
501,16,0,8,6,10,6,11
501,18,0,5,4,11,4,12
501,11,0,6,3,11,3,12
501,10,0,9,4,14,4,15
501,6,0,5,4,9,4,10
504,12,0,22,23,135,23,135
504,8,0,31,25,300,25,300
504,7,0,41,17,174,17,174
504,14,0,26,22,95,22,95
504,19,8,13,18,106,18,106
504,1,0,42,20,204,20,204
504,13,0,56,23,275,23,275
504,15,0,51,19,148,19,148
504,9,0,39,18,193,18,194
504,17,0,21,18,113,18,113
504,4,0,31,16,63,16,63
504,3,0,41,14,211,14,211
504,5,0,19,11,196,11,196
504,2,0,15,13,59,13,59
504,20,0,69,25,151,25,151
504,16,4,12,16,97,16,97
504,18,0,47,18,265,18,265
504,11,0,34,19,59,19,59
504,10,4,27,13,175,13,175
504,6,0,21,12,47,12,47
505,12,0,75,25,299,25,300
505,8,0,107,21,300,21,300
505,7,0,80,28,300,28,300
505,14,1,24,19,78,19,78
505,19,0,47,18,238,18,247
505,1,7,18,17,86,17,86
505,13,0,35,23,119,23,119
505,15,0,27,20,67,20,67
505,9,0,27,19,85,19,85
505,17,0,80,14,298,14,300
505,4,0,21,13,123,13,123
505,3,2,24,23,105,23,105
505,5,0,147,23,300,23,300
505,2,0,104,19,290,19,300
505,20,0,38,16,208,16,208
505,16,0,56,17,286,17,300
505,18,0,72,24,250,24,250
505,11,0,54,18,258,18,258
505,10,0,29,15,151,15,151
505,6,0,51,9,294,9,296
